date,city,event,reference
1/21/2020,U.S.,First U.S. case of coronavirus confirmed,https://www.nytimes.com/2020/01/21/health/cdc-coronavirus.html
2/25/2020,neworleans,Mardi Gras,
2/29/2020,U.S.,First confirmed coronavirus death in U.S.,https://www.cnn.com/2020/02/29/health/us-coronavirus-saturday/index.html
3/1/2020,florida,Florida Governor declares public health emergency,https://www.broward.org/CoronaVirus/Documents/BC-EmergencyOrder20-03.pdf
3/1/2020,prague,First Czech Republic case of coronavirus confirmed,https://www.reuters.com/article/us-china-health-czech/czech-republic-reports-first-cases-of-coronavirus-idUSKBN20O1XK
3/2/2020,prague,Czech Republic suspends flights to Prague from affected areas,https://www.cnn.com/asia/live-news/coronavirus-outbreak-03-02-20-intl-hnk/h_32efe76a722d7c9c531ce785b7f9e991
3/5/2020,lasvegas,First Nevada case of coronavirus confirmed,https://www.nytimes.com/interactive/2020/us/nevada-coronavirus-cases.html
3/5/2020,london,First confirmed coronavirus death in UK,https://www.theguardian.com/world/2020/mar/05/more-than-a-hundred-people-in-uk-infected-with-coronavirus
3/9/2020,dublin,Ireland cancels St. Patrick's Day festivities,https://www.nbcnews.com/news/world/ireland-cancels-st-patrick-s-day-festivities-over-coronavirus-concerns-n1153591
3/11/2020,chicago,Chicago Mayor cancels St. Patrick's Day festivities,https://www.chicagotribune.com/coronavirus/ct-chicago-st-patricks-day-parade-cancelled-coronavirus-20200311-d5gtbxofc5hxpdfocdepwfsxca-story.html
3/11/2020,prague,Czech Republic school closings go into effect,https://www.radio.cz/en/section/curraffrs/schools-closing-as-czech-authorities-report-first-coronavirus-case-with-unknown-source
3/12/2020,lasvegas,Nevada Governor declares a state of emergency,https://www.ktnv.com/news/coronavirus/gov-sisolak-issues-stay-at-home-order-and-extends-closure
3/12/2020,michigan,Michigan Governor announces school closings,"https://www.michigan.gov/coronavirus/0,9753,7-406-98158-521763--,00.html"
3/12/2020,michigan,First Michigan cases of coronavirus confirmed,"https://www.michigan.gov/coronavirus/0,9753,7-406-98158-521365--,00.html"
3/12/2020,newyork,New York St. Patrick's Day festivities postponed,https://www.nycstpatricksparade.org/2020/03/12/press-release-parade-postponed
3/13/2020,chicago,Illinois Governor announces school closings,https://abc7chicago.com/health/chicago-area-school-closings-event-cancellations-amid-covid-19-outbreak-/5999972/
3/13/2020,fortlauderdale,Broward County announces school closings,https://wsvn.com/news/local/miami-dade/miami-dade-broward-counties-closing-schools-due-to-coronavirus-pandemic/
3/13/2020,miami,Miami-Dade County announces school closings,https://wsvn.com/news/local/miami-dade/miami-dade-broward-counties-closing-schools-due-to-coronavirus-pandemic/
3/13/2020,neworleans,Louisiana Governor announces school closings,https://www.klfy.com/louisiana/breaking-governor-edwards-orders-louisiana-schools-closed
3/13/2020,U.S.,President Trump declares national emergency,https://www.whitehouse.gov/presidential-actions/proclamation-declaring-national-emergency-concerning-novel-coronavirus-disease-covid-19-outbreak/
3/14/2020,chicago,Archidiocese of Chicago cancels all future masses,https://www.chicagotribune.com/coronavirus/ct-coronavirus-chicago-catholic-schools-closed-20200313-lmjvxzrowve6tlxjbksaofvle4-story.html
3/15/2020,chicago,Chicago bars & restaurants close inside dining,https://abc7chicago.com/health/illinois-bars-dine-in-restaurants-closing-monday-night-to-limit-covid-19-spread/6017541/
3/15/2020,fortlauderdale,"Mayor implements strick ""Sping Break"" restrictionsm closes beaches",https://www.businessinsider.com/coronavirus-ends-spring-break-florida-miami-fort-lauderdale-2020-3
3/15/2020,lasvegas,Nevada Governor announces school closings,https://www.ktnv.com/news/gov-sisolak-to-make-announcement-regarding-nevada-schools
3/15/2020,newjersey,New Jersey Governor announces school closings,https://abc7ny.com/coronavirus-nj-new-jersey-news-update-cases-map/5987040
3/15/2020,newyork,NYC announces school closings,https://www.nbcnews.com/news/us-news/new-york-city-close-schools-bars-restaurants-around-u-s-n1159651
3/15/2020,U.S.,CDC advises no gatherings of 50 or more,https://www.nytimes.com/2020/03/15/world/coronavirus-live.html
3/16/2020,chicago,Illinois Governor announces school closings,https://abc7chicago.com/health/chicago-area-school-closings-event-cancellations-amid-covid-19-outbreak-/5999972/
3/16/2020,chicago,Illinois Governor bans gatherings of 50 or more,https://abc7chicago.com/health/pritzker-bans-gatherings-of-50-or-more-as-state-preps-for-election/6019036/
